,feature_name,rank_retained,rank_usage,rank_errors,rank_tickets,rank_satisfaction,Health_Rank,Health_Bucket
0,feature_19,4,22,13,14,1,10.8,Weak
1,feature_21,6,17,12,15,19,13.8,Below Average
2,feature_29,23,12,8,23,8,14.8,Below Average
3,feature_36,27,1,27,17,3,15.0,Below Average
4,feature_13,10,27,5,4,32,15.6,Below Average
5,feature_2,21,16,4,6,33,16.0,Below Average
6,feature_4,9,36,2,30,6,16.6,Below Average
7,feature_17,40,20,11,2,12,17.0,Below Average
8,feature_32,37,10,14,7,17,17.0,Below Average
9,feature_9,19,26,3,5,36,17.8,Below Average
10,feature_34,38,25,7,16,4,18.0,Below Average
11,feature_14,8,6,38,12,26,18.0,Below Average
12,feature_23,1,8,33,39,10,18.2,Average
13,feature_26,39,24,1,3,25,18.4,Average
14,feature_10,14,7,20,28,24,18.6,Average
15,feature_25,12,4,29,21,28,18.8,Average
16,feature_12,35,35,16,1,9,19.2,Average
17,feature_28,16,14,9,26,34,19.8,Average
18,feature_5,3,30,31,33,5,20.4,Average
19,feature_37,18,13,39,19,13,20.4,Average
20,feature_38,32,15,17,8,30,20.4,Average
21,feature_35,2,9,35,35,21,20.4,Average
22,feature_22,28,2,36,29,7,20.4,Average
23,feature_16,24,23,10,31,15,20.6,Average
24,feature_3,11,21,15,24,35,21.2,Average
25,feature_1,17,11,32,32,14,21.2,Average
26,feature_15,30,32,26,18,2,21.6,Average
27,feature_18,5,5,22,40,37,21.8,Average
28,feature_39,25,31,18,10,27,22.2,Healthy
29,feature_31,33,3,25,20,31,22.4,Healthy
30,feature_30,15,28,21,36,16,23.2,Healthy
31,feature_7,22,19,34,13,29,23.4,Healthy
32,feature_11,26,37,30,9,20,24.4,Healthy
33,feature_40,13,34,6,34,38,25.0,Healthy
34,feature_33,29,33,23,22,18,25.0,Healthy
35,feature_27,20,40,19,27,22,25.6,Healthy
36,feature_20,31,18,37,25,23,26.8,Healthy
37,feature_6,34,29,28,37,11,27.8,Healthy
38,feature_24,36,38,24,11,40,29.8,Healthy
39,feature_8,7,39,40,38,39,32.6,Very Healthy
